program,gene,gene_id,priority,notes
proliferative_or_meristematic,CYCB1;1,AT4G37490,high,cell_cycle_marker
proliferative_or_meristematic,PCNA1,AT1G07370,high,DNA_replication_marker
proliferative_or_meristematic,CYCD3;1,AT4G34160,high,g1_s_cell_cycle_marker
proliferative_or_meristematic,MCM5,AT2G07690,medium,dna_replication_licensing_marker
proliferative_or_meristematic,HISTONE_H4,AT2G28740,medium,s_phase_chromatin_marker
photosynthetic_or_assimilation,LHCB1.1,AT1G29910,high,light_harvesting_marker
photosynthetic_or_assimilation,LHCB2.1,AT2G05100,high,light_harvesting_marker
photosynthetic_or_assimilation,RBCS1A,AT1G67090,high,carbon_fixation_marker
photosynthetic_or_assimilation,RBCS2B,AT5G38420,medium,carbon_fixation_marker
photosynthetic_or_assimilation,CA1,AT3G01500,medium,chloroplast_carbonic_anhydrase_marker
photosynthetic_or_assimilation,LHCA6,AT1G19150,medium,photosystem_i_marker
vascular_like_or_transport,SUC2,AT1G22710,high,phloem_transport_marker
vascular_like_or_transport,SWEET11,AT3G48740,high,sugar_efflux_marker
vascular_like_or_transport,APL,AT1G79430,high,phloem_identity_marker
vascular_like_or_transport,TMO5,AT3G25710,medium,procambium_xylem_axis_marker
vascular_like_or_transport,VND7,AT1G71930,medium,xylem_differentiation_marker
vascular_like_or_transport,CESA7,AT5G17420,medium,secondary_wall_vascular_marker
developmental_transition,PLT1,AT3G20840,high,developmental_gradient_marker
developmental_transition,PLT2,AT1G51190,high,stem_cell_niche_marker
developmental_transition,SHR,AT4G37650,high,radial_patterning_marker
developmental_transition,SCR,AT3G54220,high,patterning_marker
developmental_transition,IAA19,AT3G15540,high,auxin_response_marker
developmental_transition,PIN2,AT5G57090,medium,auxin_transport_transition_marker
epidermal_or_surface_identity,WER,AT5G14750,high,nonhair_epidermis_marker
epidermal_or_surface_identity,GL2,AT1G79840,high,epidermal_patterning_marker
epidermal_or_surface_identity,COBL9,AT5G49270,medium,root_hair_surface_marker
epidermal_or_surface_identity,EXP7,AT1G12560,medium,root_hair_expansion_marker
epidermal_or_surface_identity,ATML1,AT4G21750,medium,surface_identity_marker
reproductive_or_floral,AP1,AT1G69120,low,floral_identity_marker
reproductive_or_floral,LFY,AT5G61850,low,floral_transition_marker
reproductive_or_floral,AP3,AT3G54340,low,floral_organ_identity_marker
aquatic_adaptation_or_stress,PIP2;1,AT3G53420,high,aquaporin_like_marker
aquatic_adaptation_or_stress,ZAT12,AT5G59820,high,oxidative_stress_marker
aquatic_adaptation_or_stress,RD29A,AT5G52310,high,abiotic_stress_marker
aquatic_adaptation_or_stress,DREB2A,AT5G05410,medium,stress_response_tf_marker
aquatic_adaptation_or_stress,HSP101,AT1G74310,medium,heat_stress_marker
